_id,ltable_id,rtable_id,ltable_name,ltable_category,ltable_fda_schedule,rtable_tokTitle,rtable_tokNews,gold_label
11,0,7810,fentanyl,opioid analgesics,schedule ii,official medical examiner report rules homicide george floyd death,county medical examiner overseeing george floyd case minnesota ruled death homicide report released monday cause cardiopulmonary arrest complicating law enforcement subdual restraint neck compression according official hennepin office manner injury occurred decedent experienced restrained officer said added also found performing autopsy 46 year old black man significant conditions arteriosclerotic hypertensive heart disease fentanyl intoxication recent methamphetamine use noted classification statutory function part certification purposes vital statistics public health legal determination culpability intent used usurp judicial process decisions outside scope role authority issuance came several hours private examiners hired family victim caused pressure back white cops routine bust minneapolis march 25,1
12,0,7866,fentanyl,opioid analgesics,schedule ii,coroner killed twilight actor gregory tyree boyce girlfriend,las vegas use killed actor film twilight girlfriend coroner said monday clark county john fudenberg gregory boyce 30 natalie adepoju 27 died effects cocaine fentanyl intoxication deaths accidental bodies discovered may 13 police summoned bedroom condominium several miles east strip officers reported finding white powder dresser evidence foul play blamed illegal overdose nationwide appeared tyler crowley 2008 starring kristen stewart robert pattinson,1
54,0,21185,fentanyl,opioid analgesics,schedule ii,mexico seizes 2 tons meth 8 marijuana fentanyl,mexico city mexican soldiers seized huge stash house border tijuana including two tons methamphetamine eight marijuana 131 500 pills containing synthetic opioid fentanyl defense department said thursday haul included 190 pounds 89 kilograms cocaine,1
66,0,36648,fentanyl,opioid analgesics,schedule ii,buffalo gang member sentenced 19 years,buffalo gang member admitted taking part several attempts murder members rival sentenced 19 years prison u district judge lawrence j vilardo pleading guilty racketeering conspiracy charges attorney james p kennedy jr announced maurice rice 22 selling heroin fentanyl including killed lackawanna woman 2018 said cbl bfl also joined others kill three retaliation shootings august september 2015 seventh convicted total 13 charged arrested feb 25 sold crack cocaine butyryl undercover police officers,1
90,1,1460,coca,opioid analgesics,schedule ii,nascar brad keselowski picks second win season,bristol tenn ap brad keselowski inherited second win season chase elliott joey logano collided raced victory sunday motor speedway third lap turn remaining lucked three cup races cleared lead laps stalking seeking days made contact fourth drifted wall slid past one trip around 533 mile concrete bullring close contract year team penske got first last coca cola 600 roughly two away caution flew pitted,0
98,1,2878,coca,opioid analgesics,schedule ii,another win falls keselowski lap final moments,bristol tenn ap brad keselowski new crew fighting contract team penske confidence still intact convinced compete championship year right place time helping inherited second win week leaders crashed front lap remaining sunday motor speedway coca cola 600 seven nights ago charlotte caution two laps helped get victory lane felt like las vegas said went bad hand full house real quick,0
117,1,7083,coca,opioid analgesics,schedule ii,bound2b files patent infringement case ardagh group xolution weider germany,bound2b owner ep 930 covering devices closing beverage corresponding food containers particular resealable cans believes equipped xolution xo system infringe patent ardagh provides used distributed weider germany validity confirmed opposition proceedings european office epo 2011 filing follows legal filed 2018 company group netherlands regard alleged breach contract b v based innovations focusing development new products solutions range industries emphasis global drinks market creator several patents including end high profile manufacturers coca cola monster corporation information visit www com photo https mma prnewswire media 1174109 jpg logo 1174110 source related links,0
218,1,44784,coca,opioid analgesics,schedule ii,colombia seizes 265 million worth cocaine shipping containers,bogota reuters colombian police tuesday seized cocaine estimated value 265 million shipping containers pacific port buenaventura city andean country coast senior official reported 4 9 tonnes two colombia important anti narcotics director general jorge luis ramirez said arrests operation represents largest seizure year authorities disclose owner leading producer output around 951 cultivations coca main ingredient covering 200 000 hectares 494 211 acres according white house office national control policy trafficking long fed internal armed conflict leftist rebel group liberation army eln dissidents former revolutionary forces farc guerrillas demobilized 2016 peace deal criminal groups make money trade security sources,1
232,1,49654,coca,opioid analgesics,schedule ii,coca cola ends mlb sponsorship three seasons,atlanta coca cola co ended sponsorship major league baseball three seasons following review north america marketing assets conclusion 2019 made decision end national mlb company spokeswoman kate hartman said email wednesday continue support 16 teams local level announced partnership april 2017 also partnerships 18 30 clubs first reported sports business journal pepsico inc sponsored 1997 2016,0
299,13,750,heroin,painkiller,schedule i,man arrested merced ca due car police say,according merced police department driver driving suspended license arrested officers found cash vehicle traffic stop man money using cellphone authorities 3 30 p friday officer pulled appeared 1100 block west olive avenue news release said observed watching pornography connected dash identified bobby yang california towed prior searched several baggies methamphetamine well heroin ecstasy pill also digital scale 1 676 43 suspicion possession narcotics sale transportation usage ask anyone information regarding alleged crime contact shaw 209 388 7766 email shawj cityofmerced org breaking sign one many newsletters first know big breaks,1
