id,name,name_type,full_generic_name,category,fda_schedule
0,fentanyl,generic_name,fentanyl,opioid analgesics,schedule ii
1,coca,generic_name,coca,opioid analgesics,schedule ii
2,laudanum,generic_name,laudanum,opioid analgesics,schedule ii
3,sodium thiopental,generic_name,sodium thiopental,opioid analgesics,schedule iii
4,cathine,generic_name,cathine,opioid analgesics,schedule iv
5,cathinone,generic_name,cathinone,opioid analgesics,schedule i
6,pethidine,generic_name,pethidine,opioid analgesics,schedule ii
7,alpha-pyrrolidinobutiophenone,generic_name,alpha-pyrrolidinobutiophenone,opioid analgesics,schedule i
8,lorcaserin,generic_name,lorcaserin,opioid analgesics,schedule iv
9,acetorphine,generic_name,acetorphine,opioid analgesics,schedule i
10,allylprodine,generic_name,allylprodine,opioid analgesics,schedule i
11,cyprenorphine,generic_name,cyprenorphine,opioid analgesics,schedule i
12,fenproporex,generic_name,fenproporex,opioid analgesics,schedule iv
13,heroin,generic_name,heroin,painkiller,schedule i
14,heterocodeine,generic_name,heterocodeine,isomer,schedule ii
15,meprodine,generic_name,meprodine,analogue,schedule i
16,metazocine,generic_name,metazocine,unknown,schedule ii
17,phenomorphan,generic_name,phenomorphan,unknown,schedule i
18,glutethimide,generic_name,glutethimide,sedative,schedule ii
19,methyltestosterone,generic_name,methyltestosterone,steroid,schedule iii
20,carisoprodol,generic_name,carisoprodol,unknown,schedule iv
21,alpha-ethyltryptamine,generic_name,alpha-ethyltryptamine,stimulant,schedule i
22,carfentanil,generic_name,carfentanil,analogue,schedule ii
23,benzylmorphine,generic_name,benzylmorphine,unknown,schedule i
24,desomorphine,generic_name,desomorphine,derivative,schedule i
25,dihydroetorphine,generic_name,dihydroetorphine,unknown,schedule ii
26,hydromorphinol,generic_name,hydromorphinol,analogue,schedule i
27,mephedrone,generic_name,mephedrone,drug,schedule i
28,phenazocine,generic_name,phenazocine,drug,schedule ii
29,piminodine,generic_name,piminodine,analogue,schedule ii
30,prodine,generic_name,prodine,analog,schedule ii
31,propiram,generic_name,propiram,agonist,schedule i
32,tilidine,generic_name,tilidine,painkiller,schedule i
