VA Pharmacy Benefits Management Services,,,,,,
Hines IL,,,,,,
"VA Product Names from National Drug File, Including Recent Changes ",,,,,,
National Formulary Indicator is Omitted for Supplies,,,,,,
,,,,,,
GENERIC,VA_PRODUCT,VA_CLASS,NF_INDICATOR,ITEM_STATUS,PPS Add Date,PPS Delete Date
"1,1,1 TRICHLOROETHANE","1,1,1 TRICHLOROETHANE (INHIBITED) SOLN",PH000,N,INACTIVE,10/16/2012,10/1/2008
CHROMIC CHLORIDE/CUPRIC SULFATE/MANGANESE SULFATE/ZINC SULFATE,4-MIXED TRACE ELEMENTS INJ,TN490,Y,INACTIVE,10/16/2012,11/1/2005
ABACAVIR,"ABACAVIR SO4 100MG/5ML SOLN,ORAL",AM800,Y,ACTIVE,10/16/2012,
ABACAVIR,ABACAVIR SO4 300MG TAB,AM800,Y,ACTIVE,10/16/2012,
ABACAVIR,"ABACAVIR SO4 300MG TAB,UD",AM800,Y,ACTIVE,10/16/2012,
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,ABACAVIR SO4 300MG/LAMIVUDINE 150MG/ZIDOVUDINE 300MG TAB,AM800,Y,ACTIVE,10/16/2012,
ABACAVIR/DOLUTEGRAVIR/LAMIVUDINE,ABACAVIR SO4 600MG/DOLUTEGRAVIR 50MG/LAMIVUDINE 300MG TAB,AM800,Y,ACTIVE,9/10/2014,
ABACAVIR/LAMIVUDINE,ABACAVIR SO4 600MG/LAMIVUDINE 300MG TAB,AM800,Y,ACTIVE,10/16/2012,
ABALOPARATIDE,"ABALOPARATIDE 80MCG/0.04ML INJ,PEN,1.56ML",HS600,Y,ACTIVE,5/12/2017,
ABARELIX,"ABARELIX 113MG/KIT INJ,SUSP,SA",AN500,N,INACTIVE,10/16/2012,9/17/2009
ABATACEPT,"ABATACEPT 125MG/ML INJ,PEN,1ML",MS190,N,ACTIVE,7/1/2016,
ABATACEPT,ABATACEPT 125MG/ML SYRINGE,MS190,N,ACTIVE,10/16/2012,
ABATACEPT,ABATACEPT 250MG/VIL INJ,MS190,N,ACTIVE,10/16/2012,
ABATACEPT,"ABATACEPT 50MG/0.4ML INJ,SYRINGE,0.4ML",MS190,N,ACTIVE,5/25/2017,
ABATACEPT,"ABATACEPT 87.5MG/0.7ML INJ,SYRINGE,0.7ML",MS190,N,ACTIVE,5/25/2017,
ABCIXIMAB,"ABCIXIMAB 2MG/ML INJ,SOLN",BL117,Y,INACTIVE,10/16/2012,11/15/2019
ABEMACICLIB,"ABEMACICLIB 100MG TAB,14",AN900,N,ACTIVE,10/12/2017,
ABEMACICLIB,"ABEMACICLIB 150MG TAB,14",AN900,N,ACTIVE,10/12/2017,
ABEMACICLIB,"ABEMACICLIB 200MG TAB,14",AN900,N,ACTIVE,10/12/2017,
ABEMACICLIB,"ABEMACICLIB 50MG TAB,14",AN900,N,ACTIVE,10/12/2017,
ABIRATERONE,ABIRATERONE ACETATE 125MG TAB,AN500,Y,ACTIVE,6/7/2018,
ABIRATERONE,ABIRATERONE ACETATE 250MG TAB,AN500,Y,ACTIVE,10/16/2012,
ABIRATERONE,ABIRATERONE ACETATE 500MG TAB,AN500,Y,ACTIVE,5/22/2017,
ABOBOTULINUMTOXINA,ABOBOTULINUMTOXINA 300 UNIT/VIL INJ,MS900,Y,ACTIVE,10/16/2012,
ABOBOTULINUMTOXINA,ABOBOTULINUMTOXINA 500 UNIT/VIL INJ,MS900,Y,ACTIVE,10/16/2012,
MINERAL OIL/MINERAL WAX/PETROLATUM/WOOL WAX ALCOHOL,"ABSORBASE OINT,TOP",DE350,Y,INACTIVE,10/16/2012,6/28/2013
