name,common_name,name_type
Apache,fentanyl,street_name
Birria,fentanyl,street_name
Blonde,fentanyl,street_name
Blue Diamond,fentanyl,street_name
Blue Dolphin,fentanyl,street_name
Blues,fentanyl,street_name
Butter,fentanyl,street_name
China Girl,fentanyl,street_name
China Town,fentanyl,street_name
China White,fentanyl,street_name
Chinese,fentanyl,street_name
Chinese Buffet,fentanyl,street_name
Chinese Food Crazy,fentanyl,street_name
Crazy One,fentanyl,street_name
Dance Fever,fentanyl,street_name
Dragon,fentanyl,street_name
Dragon’s Breath,fentanyl,street_name
F,fentanyl,street_name
Food,fentanyl,street_name
Freddy,fentanyl,street_name
Fuf,fentanyl,street_name
Facebook,fentanyl,street_name
Fent,fentanyl,street_name
Fenty,fentanyl,street_name
Fire,fentanyl,street_name
Friend,fentanyl,street_name
Girl,fentanyl,street_name
Goodfella,fentanyl,street_name
Great Bear,fentanyl,street_name
Gray Stuff,fentanyl,street_name
He-Man,fentanyl,street_name
Heineken,fentanyl,street_name
Huerfanito,fentanyl,street_name
Humid,fentanyl,street_name
Jackpot,fentanyl,street_name
King Ivory,fentanyl,street_name
Lollipop,fentanyl,street_name
Murder 8,fentanyl,street_name
Nal,fentanyl,street_name
Nil,fentanyl,street_name
Nyl,fentanyl,street_name
Opes,fentanyl,street_name
Pharmacy,fentanyl,street_name
Poison,fentanyl,street_name
Shoes,fentanyl,street_name
Snowflake,fentanyl,street_name
Tango and Cash,fentanyl,street_name
TNT,fentanyl,street_name
Toe Tag Dope,fentanyl,street_name
White Girl,fentanyl,street_name
White Ladies,fentanyl,street_name
Herion,heroin,street_name
Abajo,heroin,street_name
A-Bomb,heroin,street_name
Achivia,heroin,street_name
Adormidera,heroin,street_name
Amarilla,heroin,street_name
Anestesia de Caballo,heroin,street_name
Antifreeze,heroin,street_name
Apodo,heroin,street_name
Arpon,heroin,street_name
Aunt Hazel,heroin,street_name
Avocado,heroin,street_name
Azucar,heroin,street_name
Bad Seed,heroin,street_name
Baja Corte,heroin,street_name
Ballot,heroin,street_name
Basketball,heroin,street_name
Basura,heroin,street_name
Beast,heroin,street_name
Beyonce,heroin,street_name
Big Bag,heroin,street_name
Big H,heroin,street_name
Big Harry,heroin,street_name
