NAME,GENERIC_NAME,NAME_TYPE,FULL_GENERIC_NAME,FDA_SCHEDULE,VA_CLASS,VA_CATEGORY,CATEGORY
FENTANYL,FENTANYL,GENERIC_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
APACHE,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
BIRRIA,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
COCA,COCA,GENERIC_NAME,COCA,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
BLONDE,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
BLUE DIAMOND,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
LAUDANUM,LAUDANUM,GENERIC_NAME,LAUDANUM,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
BLUE DOLPHIN,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
BLUES,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
BUTTER,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
CHINA GIRL,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
CHINA TOWN,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
SODIUM THIOPENTAL,SODIUM THIOPENTAL,GENERIC_NAME,SODIUM THIOPENTAL,SCHEDULE III,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
CHINA WHITE,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
CHINESE,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
CHINESE BUFFET,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
CHINESE FOOD CRAZY,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
CRAZY ONE,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
DANCE FEVER,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
DRAGON,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
DRAGON’S BREATH,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
F,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
FOOD,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
FREDDY,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
FUF,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
FACEBOOK,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
FENT,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
FENTY,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
FIRE,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
FRIEND,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
GIRL,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
CATHINE,CATHINE,GENERIC_NAME,CATHINE,SCHEDULE IV,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
GOODFELLA,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
CATHINONE,CATHINONE,GENERIC_NAME,CATHINONE,SCHEDULE I,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
GREAT BEAR,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
GRAY STUFF,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
HE-MAN,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
HEINEKEN,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
PETHIDINE,PETHIDINE,GENERIC_NAME,PETHIDINE,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
HUERFANITO,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
HUMID,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
JACKPOT,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
KING IVORY,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
