id,name
0,fentanyl
1,apache
2,birria
3,coca
4,blue diamond
5,laudanum
6,blue dolphin
7,china girl
8,china town
9,sodium thiopental
10,china white
11,chinese buffet
12,chinese food crazy
13,crazy one
14,dance fever
15,dragon
16,dragon’s breath
17,fuf
18,facebook
19,fent
20,fenty
21,cathine
22,goodfella
23,cathinone
24,great bear
25,gray stuff
26,he-man
27,heineken
28,pethidine
29,huerfanito
30,humid
31,jackpot
32,king ivory
33,alpha-pyrrolidinobutiophenone
34,lollipop
35,murder 8
36,nal
37,nil
38,lorcaserin
39,nyl
40,opes
41,pharmacy
42,poison
43,snowflake
44,acetorphine
45,tango and cash
46,allylprodine
47,tnt
48,cyprenorphine
49,toe tag dope
50,white girl
51,fenproporex
52,white ladies
53,heroin
54,heterocodeine
55,diacetylmorphine
56,meprodine
57,diamorphone
58,metazocine
59,abajo
60,a-bomb
61,phenomorphan
62,achivia
63,adormidera
64,amarilla
65,anestesia de caballo
66,antifreeze
67,apodo
68,arpon
69,aunt hazel
70,avocado
71,azucar
72,bad seed
73,baja corte
74,ballot
75,basketball
76,basura
77,beast
78,beyonce
79,big bag
80,big h
81,glutethimide
82,big harry
83,birdie powder
84,birria
85,birria blanca
86,methyltestosterone
87,black bitch
88,carisoprodol
89,black goat
90,black olives
91,black paint
92,black pearl
93,black sheep
94,black shirt
95,black tar
96,blanco
97,blow dope
98,alpha-ethyltryptamine
99,blue hero
100,bombita
101,bombs away
102,bonita
103,bozo
104,brea negra
105,brick gum
106,brown crystal
107,brown rhine
108,brown sugar
109,bubble gum
110,burrito
111,carfentanil
112,caballo
113,caballo negro
114,caca
115,café
116,cajeta
117,capital h
118,cardio
119,carga
120,caro
121,cement
122,certificada
123,chapopote
124,charlie horse
125,chavo
126,benzylmorphine
127,cheese
128,chicle
129,chiclosa
130,desomorphine
131,china blanca
132,china cat
133,dihydroetorphine
134,china white
135,chinese buffet
136,chinese food
137,chinese red
138,chiva
139,chiva blanca
140,chiva loca
141,hydromorphinol
142,chiva negra
143,chivones
144,chocolate
145,mephedrone
146,chocolate balls
147,chocolate shake
148,choko
149,phenazocine
150,chorizo
151,piminodine
152,churro negro
153,chutazo
154,prodine
155,coco
156,propiram
157,cohete
158,comida
159,crown crap
160,curley hair
161,dark girl
162,dark kind
163,dead on arrival
164,diesel
165,tilidine
166,dog food
167,doggie
168,drotebanol
169,doojee
170,dope
171,fospropofol
172,dorado
173,jwh-018
174,dragon
175,jwh-073
176,dreck
177,jwh-081
178,dynamite
179,levophenacylmorphan
180,dyno
181,el diablo
182,enrique grande
183,esquina
184,esquinilla
185,am-694
186,fairy dust
187,flea powder
188,foolish powder
189,galloping horse
190,gamot
191,cannabicyclohexanol
192,gato
193,pentedrone
194,george smack
195,globo
196,goat
197,golden girl
198,good and plenty
199,good h
200,goofball
201,3-monoacetylmorphine
202,goma
203,gorda
204,gras
205,grasin
206,gravy
207,ur-144
208,gum
209,h-caps
210,hairy
211,hard candy
212,hard one
213,methcathinone
214,methylenedioxypyrovalerone
215,hats
216,hazel
217,phenobarbital
218,heaven dust
219,helen
220,helicopter
221,hell dust
222,hercules
223,"3,4-methylenedioxyamphetamine"
224,adderall
225,hombre
226,hot dope
227,huera
228,hummers
229,jojee
230,joy flakes
231,joy powder
232,junk
233,kabayo
234,karachi
235,midazolam
236,karate
237,king’s tickets
238,la tierra
239,lemonade
240,lenta
241,lifesaver
242,manteca
243,marias
244,marrion
245,mayo
246,mazpan
247,indiplon
248,menthol
249,ketobemidone
250,mexican black tar heroin
251,mexican brown
252,mexican food
253,mexican horse
254,trional
255,mexican mud
256,mexican tar
257,mexican treat
258,modelo negra
259,bezitramide
260,mojo
261,mole
262,mongega
263,morena
264,morenita
265,mortal combat
266,piritramide
267,mujer
268,murcielago
269,flutemazepam
270,muzzle
271,methyldesorphine
272,nanoo
273,methyldihydromorphine
274,negra
275,pentamorphone
276,negra tomasa
277,negrita
278,nice and easy
279,obama
280,old steve
281,pants
282,patty
283,peg
284,p-funk
285,piezas
286,plata
287,poison
288,polvo
289,gamma-hydroxybutyric acid
290,polvo de alegria
291,hashish
292,polvo de estrellas
293,polvo feliz
294,poppy
295,prostituta negra
296,puppy
297,modafinil
298,rambo
299,"n,n-dimethyltryptamine"
300,red chicken
301,red eagle
302,reindeer dust
303,phencyclidine
304,roofing tar
305,ruby
306,sack
307,scag
308,scat
309,schmeck
310,scramble
311,shirts
312,skag
313,skunk
314,trenbolone
315,slime
316,smack
317,smeck
318,snickers
319,soda
320,speedball
321,spider blue
322,desmethylprodine
323,sticky kind
324,stufa
325,sweet jesus
326,tan
327,tar
328,tecata
329,ethylmorphine
330,thunder
331,tires
332,tomasa
333,tootsie roll
334,tragic magic
335,turtle
336,vidrio
337,weights
338,white boy
339,white girl
340,white junk
341,white lady
342,white nurse
343,white shirt
344,white stuff
345,witch
346,witch hazel
347,zapapote
348,oxycodone
349,512s
350,bananas
351,blue dynamite
352,blueberries
