id,name,name_type,full_generic_name,category,fda_schedule
0,fentanyl,generic_name,fentanyl,opioid analgesics,schedule ii
1,apache,street_name,fentanyl,opioid analgesics,schedule ii
2,birria,street_name,fentanyl,opioid analgesics,schedule ii
3,coca,generic_name,coca,opioid analgesics,schedule ii
4,blue diamond,street_name,fentanyl,opioid analgesics,schedule ii
5,laudanum,generic_name,laudanum,opioid analgesics,schedule ii
6,blue dolphin,street_name,fentanyl,opioid analgesics,schedule ii
7,china girl,street_name,fentanyl,opioid analgesics,schedule ii
8,china town,street_name,fentanyl,opioid analgesics,schedule ii
9,sodium thiopental,generic_name,sodium thiopental,opioid analgesics,schedule iii
10,china white,street_name,fentanyl,opioid analgesics,schedule ii
11,chinese buffet,street_name,fentanyl,opioid analgesics,schedule ii
12,chinese food crazy,street_name,fentanyl,opioid analgesics,schedule ii
13,crazy one,street_name,fentanyl,opioid analgesics,schedule ii
14,dance fever,street_name,fentanyl,opioid analgesics,schedule ii
15,dragon,street_name,fentanyl,opioid analgesics,schedule ii
16,dragon’s breath,street_name,fentanyl,opioid analgesics,schedule ii
17,fuf,street_name,fentanyl,opioid analgesics,schedule ii
18,facebook,street_name,fentanyl,opioid analgesics,schedule ii
19,fent,street_name,fentanyl,opioid analgesics,schedule ii
20,fenty,street_name,fentanyl,opioid analgesics,schedule ii
21,cathine,generic_name,cathine,opioid analgesics,schedule iv
22,goodfella,street_name,fentanyl,opioid analgesics,schedule ii
23,cathinone,generic_name,cathinone,opioid analgesics,schedule i
24,great bear,street_name,fentanyl,opioid analgesics,schedule ii
25,gray stuff,street_name,fentanyl,opioid analgesics,schedule ii
26,he-man,street_name,fentanyl,opioid analgesics,schedule ii
27,heineken,street_name,fentanyl,opioid analgesics,schedule ii
28,pethidine,generic_name,pethidine,opioid analgesics,schedule ii
29,huerfanito,street_name,fentanyl,opioid analgesics,schedule ii
30,humid,street_name,fentanyl,opioid analgesics,schedule ii
31,jackpot,street_name,fentanyl,opioid analgesics,schedule ii
32,king ivory,street_name,fentanyl,opioid analgesics,schedule ii
33,alpha-pyrrolidinobutiophenone,generic_name,alpha-pyrrolidinobutiophenone,opioid analgesics,schedule i
34,lollipop,street_name,fentanyl,opioid analgesics,schedule ii
35,murder 8,street_name,fentanyl,opioid analgesics,schedule ii
36,nal,street_name,fentanyl,opioid analgesics,schedule ii
37,nil,street_name,fentanyl,opioid analgesics,schedule ii
38,lorcaserin,generic_name,lorcaserin,opioid analgesics,schedule iv
39,nyl,street_name,fentanyl,opioid analgesics,schedule ii
40,opes,street_name,fentanyl,opioid analgesics,schedule ii
41,pharmacy,street_name,fentanyl,opioid analgesics,schedule ii
42,poison,street_name,fentanyl,opioid analgesics,schedule ii
43,snowflake,street_name,fentanyl,opioid analgesics,schedule ii
44,acetorphine,generic_name,acetorphine,opioid analgesics,schedule i
45,tango and cash,street_name,fentanyl,opioid analgesics,schedule ii
46,allylprodine,generic_name,allylprodine,opioid analgesics,schedule i
47,tnt,street_name,fentanyl,opioid analgesics,schedule ii
48,cyprenorphine,generic_name,cyprenorphine,opioid analgesics,schedule i
49,toe tag dope,street_name,fentanyl,opioid analgesics,schedule ii
50,white girl,street_name,fentanyl,opioid analgesics,schedule ii
51,fenproporex,generic_name,fenproporex,opioid analgesics,schedule iv
52,white ladies,street_name,fentanyl,opioid analgesics,schedule ii
53,heroin,generic_name,heroin,painkiller,schedule i
54,heterocodeine,generic_name,heterocodeine,isomer,schedule ii
55,diacetylmorphine,brand_name,heroin,painkiller,schedule i
56,meprodine,generic_name,meprodine,analogue,schedule i
57,diamorphone,brand_name,heroin,painkiller,schedule i
58,metazocine,generic_name,metazocine,,schedule ii
59,abajo,street_name,heroin,painkiller,schedule i
60,a-bomb,street_name,heroin,painkiller,schedule i
61,phenomorphan,generic_name,phenomorphan,,schedule i
62,achivia,street_name,heroin,painkiller,schedule i
63,adormidera,street_name,heroin,painkiller,schedule i
64,amarilla,street_name,heroin,painkiller,schedule i
65,anestesia de caballo,street_name,heroin,painkiller,schedule i
66,antifreeze,street_name,heroin,painkiller,schedule i
67,apodo,street_name,heroin,painkiller,schedule i
68,arpon,street_name,heroin,painkiller,schedule i
69,aunt hazel,street_name,heroin,painkiller,schedule i
70,avocado,street_name,heroin,painkiller,schedule i
71,azucar,street_name,heroin,painkiller,schedule i
72,bad seed,street_name,heroin,painkiller,schedule i
73,baja corte,street_name,heroin,painkiller,schedule i
74,ballot,street_name,heroin,painkiller,schedule i
75,basketball,street_name,heroin,painkiller,schedule i
76,basura,street_name,heroin,painkiller,schedule i
77,beast,street_name,heroin,painkiller,schedule i
78,beyonce,street_name,heroin,painkiller,schedule i
79,big bag,street_name,heroin,painkiller,schedule i
80,big h,street_name,heroin,painkiller,schedule i
81,glutethimide,generic_name,glutethimide,sedative,schedule ii
82,big harry,street_name,heroin,painkiller,schedule i
83,birdie powder,street_name,heroin,painkiller,schedule i
84,birria,street_name,heroin,painkiller,schedule i
85,birria blanca,street_name,heroin,painkiller,schedule i
86,methyltestosterone,generic_name,methyltestosterone,steroid,schedule iii
87,black bitch,street_name,heroin,painkiller,schedule i
88,carisoprodol,generic_name,carisoprodol,,schedule iv
89,black goat,street_name,heroin,painkiller,schedule i
90,black olives,street_name,heroin,painkiller,schedule i
91,black paint,street_name,heroin,painkiller,schedule i
92,black pearl,street_name,heroin,painkiller,schedule i
93,black sheep,street_name,heroin,painkiller,schedule i
94,black shirt,street_name,heroin,painkiller,schedule i
95,black tar,street_name,heroin,painkiller,schedule i
96,blanco,street_name,heroin,painkiller,schedule i
97,blow dope,street_name,heroin,painkiller,schedule i
98,alpha-ethyltryptamine,generic_name,alpha-ethyltryptamine,stimulant,schedule i
99,blue hero,street_name,heroin,painkiller,schedule i
100,bombita,street_name,heroin,painkiller,schedule i
101,bombs away,street_name,heroin,painkiller,schedule i
102,bonita,street_name,heroin,painkiller,schedule i
103,bozo,street_name,heroin,painkiller,schedule i
104,brea negra,street_name,heroin,painkiller,schedule i
105,brick gum,street_name,heroin,painkiller,schedule i
106,brown crystal,street_name,heroin,painkiller,schedule i
107,brown rhine,street_name,heroin,painkiller,schedule i
108,brown sugar,street_name,heroin,painkiller,schedule i
109,bubble gum,street_name,heroin,painkiller,schedule i
110,burrito,street_name,heroin,painkiller,schedule i
111,carfentanil,generic_name,carfentanil,analogue,schedule ii
112,caballo,street_name,heroin,painkiller,schedule i
113,caballo negro,street_name,heroin,painkiller,schedule i
114,caca,street_name,heroin,painkiller,schedule i
115,café,street_name,heroin,painkiller,schedule i
116,cajeta,street_name,heroin,painkiller,schedule i
117,capital h,street_name,heroin,painkiller,schedule i
118,cardio,street_name,heroin,painkiller,schedule i
119,carga,street_name,heroin,painkiller,schedule i
120,caro,street_name,heroin,painkiller,schedule i
121,cement,street_name,heroin,painkiller,schedule i
122,certificada,street_name,heroin,painkiller,schedule i
123,chapopote,street_name,heroin,painkiller,schedule i
124,charlie horse,street_name,heroin,painkiller,schedule i
125,chavo,street_name,heroin,painkiller,schedule i
126,benzylmorphine,generic_name,benzylmorphine,,schedule i
127,cheese,street_name,heroin,painkiller,schedule i
128,chicle,street_name,heroin,painkiller,schedule i
129,chiclosa,street_name,heroin,painkiller,schedule i
130,desomorphine,generic_name,desomorphine,derivative,schedule i
131,china blanca,street_name,heroin,painkiller,schedule i
132,china cat,street_name,heroin,painkiller,schedule i
133,dihydroetorphine,generic_name,dihydroetorphine,,schedule ii
134,china white,street_name,heroin,painkiller,schedule i
135,chinese buffet,street_name,heroin,painkiller,schedule i
136,chinese food,street_name,heroin,painkiller,schedule i
137,chinese red,street_name,heroin,painkiller,schedule i
138,chiva,street_name,heroin,painkiller,schedule i
139,chiva blanca,street_name,heroin,painkiller,schedule i
140,chiva loca,street_name,heroin,painkiller,schedule i
141,hydromorphinol,generic_name,hydromorphinol,analogue,schedule i
142,chiva negra,street_name,heroin,painkiller,schedule i
143,chivones,street_name,heroin,painkiller,schedule i
144,chocolate,street_name,heroin,painkiller,schedule i
145,mephedrone,generic_name,mephedrone,drug,schedule i
146,chocolate balls,street_name,heroin,painkiller,schedule i
147,chocolate shake,street_name,heroin,painkiller,schedule i
148,choko,street_name,heroin,painkiller,schedule i
149,phenazocine,generic_name,phenazocine,drug,schedule ii
150,chorizo,street_name,heroin,painkiller,schedule i
151,piminodine,generic_name,piminodine,analogue,schedule ii
152,churro negro,street_name,heroin,painkiller,schedule i
153,chutazo,street_name,heroin,painkiller,schedule i
154,prodine,generic_name,prodine,analog,schedule ii
155,coco,street_name,heroin,painkiller,schedule i
156,propiram,generic_name,propiram,agonist,schedule i
157,cohete,street_name,heroin,painkiller,schedule i
158,comida,street_name,heroin,painkiller,schedule i
159,crown crap,street_name,heroin,painkiller,schedule i
160,curley hair,street_name,heroin,painkiller,schedule i
161,dark girl,street_name,heroin,painkiller,schedule i
162,dark kind,street_name,heroin,painkiller,schedule i
163,dead on arrival,street_name,heroin,painkiller,schedule i
164,diesel,street_name,heroin,painkiller,schedule i
165,tilidine,generic_name,tilidine,painkiller,schedule i
166,dog food,street_name,heroin,painkiller,schedule i
167,doggie,street_name,heroin,painkiller,schedule i
168,drotebanol,generic_name,drotebanol,morphinan,schedule i
169,doojee,street_name,heroin,painkiller,schedule i
170,dope,street_name,heroin,painkiller,schedule i
171,fospropofol,generic_name,fospropofol,agent,schedule iv
172,dorado,street_name,heroin,painkiller,schedule i
173,jwh-018,generic_name,jwh-018,chemical,schedule i
174,dragon,street_name,heroin,painkiller,schedule i
175,jwh-073,generic_name,jwh-073,chemical,schedule i
176,dreck,street_name,heroin,painkiller,schedule i
177,jwh-081,generic_name,jwh-081,chemical,schedule i
178,dynamite,street_name,heroin,painkiller,schedule i
179,levophenacylmorphan,generic_name,levophenacylmorphan,morphinan,schedule i
180,dyno,street_name,heroin,painkiller,schedule i
181,el diablo,street_name,heroin,painkiller,schedule i
182,enrique grande,street_name,heroin,painkiller,schedule i
183,esquina,street_name,heroin,painkiller,schedule i
184,esquinilla,street_name,heroin,painkiller,schedule i
185,am-694,generic_name,am-694,drug,schedule i
186,fairy dust,street_name,heroin,painkiller,schedule i
187,flea powder,street_name,heroin,painkiller,schedule i
188,foolish powder,street_name,heroin,painkiller,schedule i
189,galloping horse,street_name,heroin,painkiller,schedule i
190,gamot,street_name,heroin,painkiller,schedule i
191,cannabicyclohexanol,generic_name,cannabicyclohexanol,drug,schedule i
192,gato,street_name,heroin,painkiller,schedule i
193,pentedrone,generic_name,pentedrone,stimulant,schedule i
194,george smack,street_name,heroin,painkiller,schedule i
195,globo,street_name,heroin,painkiller,schedule i
196,goat,street_name,heroin,painkiller,schedule i
197,golden girl,street_name,heroin,painkiller,schedule i
198,good and plenty,street_name,heroin,painkiller,schedule i
199,good h,street_name,heroin,painkiller,schedule i
200,goofball,street_name,heroin,painkiller,schedule i
201,3-monoacetylmorphine,generic_name,3-monoacetylmorphine,,schedule i
202,goma,street_name,heroin,painkiller,schedule i
203,gorda,street_name,heroin,painkiller,schedule i
204,gras,street_name,heroin,painkiller,schedule i
205,grasin,street_name,heroin,painkiller,schedule i
206,gravy,street_name,heroin,painkiller,schedule i
207,ur-144,generic_name,ur-144,drug,schedule i
208,gum,street_name,heroin,painkiller,schedule i
209,h-caps,street_name,heroin,painkiller,schedule i
210,hairy,street_name,heroin,painkiller,schedule i
211,hard candy,street_name,heroin,painkiller,schedule i
212,hard one,street_name,heroin,painkiller,schedule i
213,methcathinone,generic_name,methcathinone,alkaloid,schedule i
214,methylenedioxypyrovalerone,generic_name,methylenedioxypyrovalerone,drug,schedule i
215,hats,street_name,heroin,painkiller,schedule i
216,hazel,street_name,heroin,painkiller,schedule i
217,phenobarbital,generic_name,phenobarbital,medication,schedule iv
218,heaven dust,street_name,heroin,painkiller,schedule i
219,helen,street_name,heroin,painkiller,schedule i
220,helicopter,street_name,heroin,painkiller,schedule i
221,hell dust,street_name,heroin,painkiller,schedule i
222,hercules,street_name,heroin,painkiller,schedule i
