id_alt,id_generic
0,0
1,0
2,0
3,1
4,0
5,2
6,0
7,0
8,0
9,3
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,4
22,0
23,5
24,0
25,0
26,0
27,0
28,6
29,0
30,0
31,0
32,0
33,7
34,0
35,0
36,0
37,0
38,8
39,0
40,0
41,0
42,0
43,0
44,9
45,0
46,10
47,0
48,11
49,0
50,0
51,12
52,0
53,13
54,14
55,13
56,15
57,13
58,16
59,13
60,13
61,17
62,13
63,13
64,13
65,13
66,13
67,13
68,13
69,13
70,13
71,13
72,13
73,13
74,13
75,13
76,13
77,13
78,13
79,13
80,13
81,18
82,13
83,13
84,13
85,13
86,19
87,13
88,20
89,13
90,13
91,13
92,13
93,13
94,13
95,13
96,13
97,13
98,21
99,13
100,13
101,13
102,13
103,13
104,13
105,13
106,13
107,13
108,13
109,13
110,13
111,22
112,13
113,13
114,13
115,13
116,13
117,13
118,13
119,13
120,13
121,13
122,13
123,13
124,13
125,13
126,23
127,13
128,13
129,13
130,24
131,13
132,13
133,25
134,13
135,13
136,13
137,13
138,13
139,13
140,13
141,26
142,13
143,13
144,13
145,27
146,13
147,13
148,13
149,28
150,13
151,29
152,13
153,13
154,30
155,13
156,31
157,13
158,13
159,13
160,13
161,13
162,13
163,13
164,13
165,32
166,13
167,13
168,33
169,13
170,13
171,34
172,13
173,35
174,13
175,36
176,13
177,37
178,13
179,38
180,13
181,13
182,13
183,13
184,13
185,39
186,13
187,13
188,13
189,13
190,13
191,40
192,13
193,41
194,13
195,13
196,13
197,13
198,13
199,13
200,13
201,42
202,13
203,13
204,13
205,13
206,13
207,43
208,13
209,13
210,13
211,13
212,13
213,44
214,45
215,13
216,13
217,46
218,13
219,13
220,13
221,13
222,13
223,47
224,48
225,13
226,13
227,13
228,13
229,13
230,13
231,13
232,13
233,13
234,13
235,49
236,13
237,13
238,13
239,13
240,13
241,13
242,13
243,13
244,13
245,13
246,13
247,50
248,13
249,51
250,13
251,13
252,13
253,13
254,52
255,13
256,13
257,13
258,13
259,53
260,13
261,13
262,13
263,13
264,13
265,13
266,54
267,13
268,13
269,55
270,13
271,56
272,13
273,57
274,13
275,58
276,13
277,13
278,13
279,13
280,13
281,13
282,13
283,13
284,13
285,13
286,13
287,13
288,13
289,59
290,13
291,60
292,13
293,13
294,13
295,13
296,13
297,61
298,13
299,62
300,13
301,13
302,13
303,63
304,13
305,13
306,13
307,13
308,13
309,13
310,13
311,13
312,13
313,13
314,64
315,13
316,13
317,13
318,13
319,13
320,13
321,13
322,65
323,13
324,13
325,13
326,13
327,13
328,13
329,66
330,13
331,13
332,13
333,13
334,13
335,13
336,13
337,13
338,13
339,13
340,13
341,13
342,13
343,13
344,13
345,13
346,13
347,13
348,67
349,67
350,67
351,67
352,67
353,67
354,67
355,68
356,67
357,67
358,69
359,67
360,67
361,67
362,67
363,67
364,67
365,70
366,67
367,71
368,71
369,71
370,71
371,71
372,71
373,71
374,71
375,71
376,72
377,71
378,71
379,71
380,71
381,71
382,71
383,71
384,71
385,71
386,71
387,71
388,71
389,71
390,73
391,71
392,71
393,74
394,71
395,75
396,76
397,76
398,77
399,76
400,76
401,76
402,76
403,76
404,76
405,76
406,76
407,76
408,76
409,76
410,76
411,78
412,76
413,79
414,76
415,76
416,76
417,80
418,76
419,76
420,81
421,76
422,82
423,76
424,76
425,76
426,83
427,76
428,76
429,76
430,76
431,76
432,76
433,76
434,76
435,84
436,76
437,85
438,76
439,76
440,76
441,76
442,76
443,76
444,76
445,76
446,86
447,76
448,76
449,76
450,87
451,76
452,88
453,76
454,76
455,76
456,76
457,76
458,76
459,76
460,76
461,76
462,76
463,76
464,89
465,76
466,76
467,90
468,76
469,76
470,76
471,76
472,76
473,76
474,76
475,76
476,76
477,91
478,76
479,76
480,76
481,76
482,92
483,76
484,76
485,76
486,76
487,76
488,76
489,76
490,76
491,76
492,76
493,76
494,76
495,76
496,76
497,76
498,76
499,76
500,76
501,76
502,76
503,76
504,76
505,76
506,76
507,93
508,76
509,94
510,76
511,95
512,96
513,76
514,97
515,76
516,76
517,98
518,76
519,99
520,76
521,100
522,76
523,101
524,76
525,102
526,76
527,76
528,103
529,76
530,76
